"indID","sex","min_age","broodID","pairID","mateID","year","hatch_size","par_load","relative_par_load","period","BB","BUVC","YB","YUVC","YC","laydate","Nestbag"
3661246,"M",3,"pir81","6988780_3661246",6988780,2014,5,8,1.6,"C",15.105198,0.381431,18.549341,0.243387,0.821125,130,1
3661246,"M",5,"pir81","7715602_3661246",7715602,2016,9,111,12.33,"F",13.52749,0.346024,15.512586,0.224481,0.848288,132,1
3661547,"F",3,"pir207","3661547_6680135",6680135,2013,5,79,15.8,"F",18.338752,0.390491,20.410688,0.231663,0.536871,119,1
3661548,"M",2,"pir127","5118840_3661548",5118840,2013,6,55,9.17,"C",12.39528,0.37471,22.230764,0.256039,0.629503,NA,1
3661851,"F",2,"pir246","3661851_3661852",3661852,2012,6,90,15,"F",10.787388,0.333913,15.790797,0.196682,0.732588,126,1
3661851,"F",4,"pir65","3661851_5116427",5116427,2014,8,1,0.12,"F",9.27606,0.337654,18.637272,0.198862,0.784561,120,1
3661852,"M",2,"pir246","3661851_3661852",3661851,2012,6,90,15,"F",14.274258,0.378952,16.311355,0.227337,0.764994,126,1
3661853,"F",2,"pir235","3661853_5597299",5597299,2012,6,70,11.67,"C",17.24513,0.31848,23.636914,0.209092,0.651174,127,1
3661856,"F",3,"pir98","3661856_3661857",3661857,2012,5,25,5,"C",15.994968,0.340681,21.318296,0.237953,0.690379,136,1
4275652,"M",6,"pir6","4487419_4275652",4487419,2006,7,155,22.14,"F",15.991234,0.385803,17.415717,0.212033,0.821563,120,1
4275670,"M",2,"pir49","4960595_4275670",4960595,2011,7,45,6.43,"C",12.477383,0.414244,11.930829,0.230022,0.798693,NA,1
4275672,"M",3,"pir91","4275673_4275672",4275673,2010,7,56,8,"F",16.64898,0.350738,17.507329,0.224716,0.79987,144,1
4275672,"M",4,"pir93","4275673_4275672",4275673,2011,8,33,4.12,"C",12.824614,0.383801,12.111067,0.298623,1.251747,126,1
4275673,"F",3,"pir91","4275673_4275672",4275672,2010,7,56,8,"F",10.121543,0.306812,16.225465,0.207455,0.612892,144,1
4275673,"F",4,"pir93","4275673_4275672",4275672,2011,8,33,4.12,"C",10.376242,0.364343,19.853016,0.257303,0.638647,126,1
4275674,"F",3,"pir59","4275674_5116453",5116453,2010,6,47,7.83,"F",12.845937,0.312511,17.684964,0.206297,0.709903,126,1
4309038,"F",6,"pir1","4309038_4489386",4489386,2005,8,0,0,"F",10.878401,0.295688,19.820567,0.207339,0.669268,125,2
4309159,"M",6,"pir158","4594740_4309159",4594740,2005,6,37,6.17,"F",15.339438,0.342861,17.412285,0.225876,0.644138,NA,1
4309187,"F",7,"pir20","4309187_4489917",4489917,2005,5,28,5.6,"F",8.930045,0.301965,16.173052,0.188994,0.761137,NA,1
4310740,"M",8,"pir95","4489339_4310740",4489339,2005,5,0,0,"F",15.858585,0.344829,15.739945,0.22094,0.7908,NA,1
4377400,"F",6,"pir129","4377400_4593375",4593375,2005,5,31,6.2,"F",15.909254,0.324096,17.07871,0.213275,0.842282,124,2
4377400,"F",7,"pir129","4377400_4958010",4958010,2006,7,89,12.71,"F",11.77338,0.306756,14.576607,0.184012,0.833455,120,1
4377573,"F",5,"pir121","4377573_4593553",4593553,2006,7,54,7.71,"F",14.241238,0.352504,18.249405,0.198078,0.728855,126,1
4447557,"F",5,"pir111","4447557_4961964",4961964,2005,4,40,10,"F",8.915205,0.277703,16.679713,0.190256,0.702521,NA,1
4447557,"F",7,"pir75","4447557_5117648",5117648,2007,6,95,15.83,"F",13.653348,0.337487,18.615194,0.188834,0.682402,108,1
4489761,"M",4,"pir127","4734598_4489761",4734598,2005,7,36,5.14,"F",17.140669,0.33341,15.921697,0.178342,0.927738,122,1
4489901,"M",4,"pir44","4593700_4489901",4593700,2005,8,19,2.38,"F",19.199263,0.376322,15.207243,0.233083,0.75425,NA,1
4489917,"M",4,"pir20","4309187_4489917",4309187,2005,5,28,5.6,"F",16.516701,0.354132,17.885094,0.220916,0.590604,NA,1
4593341,"M",3,"pir39","4489300_4593341",4489300,2005,6,52,8.67,"F",13.35926,0.33961,7.301481,0.227748,0.927652,123,1
4593375,"M",3,"pir129","4377400_4593375",4377400,2005,5,31,6.2,"F",10.11041,0.353826,16.073554,0.21331,0.837617,124,2
4593541,"M",3,"pir4","4736142_4593541",4736142,2005,5,0,0,"F",10.779565,0.337953,20.129765,0.191795,0.821165,NA,1
4593541,"M",4,"pir9","4960298_4593541",4960298,2006,8,72,9,"F",10.044279,0.371751,18.113114,0.215498,0.879322,NA,1
4593579,"M",5,"pir105","4959881_4593579",4959881,2006,6,61,10.17,"F",13.93311,0.326101,13.673296,0.190629,0.8975,134,1
4593700,"F",3,"pir44","4593700_4489901",4489901,2005,8,19,2.38,"F",11.862907,0.300525,19.709946,0.209274,0.716972,NA,1
4593700,"F",4,"pir119","4593700_4489901",4489901,2006,5,68,13.6,"F",15.623619,0.320511,16.334152,0.176484,0.704089,124,1
4594740,"F",3,"pir158","4594740_4309159",4309159,2005,6,37,6.17,"F",21.925208,0.295475,19.105401,0.177,0.654628,NA,1
4594740,"F",4,"pir159","4594740_4309159",4309159,2006,6,42,7,"F",12.117375,0.328219,17.08536,0.184362,0.6293,113,1
