"","X","indID","broodID","year","hatch_size","par_load","relative_par_load","tarsus","mass","laydate.x","laydate.y","fledg","mort"
"1",1,3661237,"tua210",2011,5,59,11.8,16.05,9,128,128,5,NA
"2",2,3661238,"tua210",2011,5,59,11.8,15.69,9.4,128,128,5,NA
"3",3,3661239,"tua210",2011,5,59,11.8,16.07,10,128,128,5,NA
"4",4,3661240,"tua210",2011,5,59,11.8,15.99,9.4,128,128,5,NA
"5",5,3661242,"pir126",2011,6,31,5.17,17.09,10.4,128,128,6,NA
"6",6,3661243,"pir126",2011,6,31,5.17,16.36,9.6,128,128,6,NA
"7",7,3661244,"pir126",2011,6,31,5.17,16.89,10,128,128,6,NA
"8",8,3661245,"pir126",2011,6,31,5.17,17.25,10.8,128,128,6,NA
"9",9,3661246,"pir126",2011,6,31,5.17,16.98,10.5,128,128,6,NA
"10",10,3661248,"pir126",2011,6,31,5.17,17.21,10.9,128,128,6,NA
"11",11,3661688,"pir19",2011,7,159,22.71,15.27,9,126,126,0,"ABA"
"12",12,3661689,"pir19",2011,7,159,22.71,15.59,8.5,126,126,0,"ABA"
"13",13,3661690,"pir19",2011,7,159,22.71,15.64,8.5,126,126,0,"ABA"
"14",14,3661691,"pir19",2011,7,159,22.71,15.14,7.5,126,126,0,"ABA"
"15",15,3661692,"pir19",2011,7,159,22.71,16.02,8.5,126,126,0,"ABA"
"16",16,3661693,"pir19",2011,7,159,22.71,15.87,8.5,126,126,0,"ABA"
"17",17,3661862,"pir139",2011,7,61,8.71,15.67,9.5,129,129,3,NA
"18",18,3661864,"pir139",2011,7,61,8.71,15.76,10.25,129,129,3,NA
"19",19,3661872,"pir69",2011,9,93,10.33,15.78,8.5,122,122,9,NA
"20",20,3661873,"pir69",2011,9,93,10.33,16.84,9,122,122,9,NA
"21",21,3661874,"pir69",2011,9,93,10.33,15.79,8.5,122,122,9,NA
"22",22,3661875,"pir69",2011,9,93,10.33,16.77,9.5,122,122,9,NA
"23",23,3661876,"pir69",2011,9,93,10.33,15.92,9,122,122,9,NA
"24",24,3661878,"pir69",2011,9,93,10.33,16.23,9,122,122,9,NA
"25",25,3661879,"pir69",2011,9,93,10.33,16.42,8.5,122,122,9,NA
"26",26,3661888,"pir39",2011,6,48,8,16.75,10,125,125,2,NA
"27",27,3661889,"pir39",2011,6,48,8,16.18,9.5,125,125,2,NA
"28",28,3661890,"pir39",2011,6,48,8,16.98,9.4,125,125,2,NA
"29",29,3661891,"pir39",2011,6,48,8,16.7,9.6,125,125,2,NA
"30",30,3661892,"pir39",2011,6,48,8,15.65,9.6,125,125,2,NA
"31",31,3661893,"pir39",2011,6,48,8,15.02,9,125,125,2,NA
"32",32,4736033,"pir129",2004,5,31,6.2,NA,7.5,127,127,5,NA
"33",33,4736034,"pir129",2004,5,31,6.2,NA,8.5,127,127,5,NA
"34",34,4736035,"pir129",2004,5,31,6.2,NA,7.4,127,127,5,NA
"35",35,4736036,"pir129",2004,5,31,6.2,NA,7.5,127,127,5,NA
"36",36,4736037,"pir129",2004,5,31,6.2,NA,7.7,127,127,5,NA
"37",37,4736046,"pir122",2004,5,10,2,NA,8.3,134,134,0,"PRE"
"38",38,4736047,"pir122",2004,5,10,2,NA,7.5,134,134,0,"PRE"
"39",39,4736048,"pir122",2004,5,10,2,NA,7.4,134,134,0,"PRE"
"40",40,4736049,"pir122",2004,5,10,2,NA,8.2,134,134,0,"PRE"
"41",41,4736050,"pir122",2004,5,10,2,NA,8.3,134,134,0,"PRE"
"42",42,4736051,"pir38",2004,6,49,8.17,NA,8,129,129,6,NA
"43",43,4736052,"pir38",2004,6,49,8.17,NA,8,129,129,6,NA
"44",44,4736053,"pir38",2004,6,49,8.17,NA,7.5,129,129,6,NA
"45",45,4736054,"pir38",2004,6,49,8.17,NA,8.2,129,129,6,NA
"46",46,4736055,"pir38",2004,6,49,8.17,NA,8.7,129,129,6,NA
"47",47,4736056,"pir38",2004,6,49,8.17,NA,8.3,129,129,6,NA
"48",48,4736057,"pir47",2004,5,50,10,NA,9.2,136,136,5,NA
"49",49,4736058,"pir47",2004,5,50,10,NA,9.5,136,136,5,NA
"50",50,4736059,"pir47",2004,5,50,10,NA,6,136,136,5,NA
