"model","effect","term","estimate","std_error","t_value","95CI_low","95CI_up","group","nb_obs","nb_groups"
"BB","fixed","(Intercept)",-0.6405,0.1846,-3.4687,-1.0034,-0.2781,,,
"BB","fixed","relative_par_load",0.033,0.1224,0.2699,-0.2061,0.2663,,,
"BB","fixed","hatch_size",-0.0264,0.0783,-0.3367,-0.1786,0.1257,,,
"BB","fixed","sexM",0.5121,0.1353,3.7851,0.2507,0.7869,,,
"BB","fixed","periodF",0.7502,0.1597,4.697,0.4451,1.0678,,,
"BB","fixed","laydate",0.1011,0.0951,1.0631,-0.0933,0.2966,,,
"BB","fixed","relative_par_load:hatch_size",-0.0074,0.0587,-0.1252,-0.1216,0.1052,,,
"BB","fixed","relative_par_load:sexM",0.0374,0.1515,0.2469,-0.253,0.3351,,,
"BB","ran_pars","sd__(Intercept)",0.3685,,,0,0.5889,"broodID:year",,127
"BB","ran_pars","sd__(Intercept)",0.4507,,,0.2037,0.7139,"year",,19
"BB","ran_pars","sd__Observation",0.6814,,,0.5226,0.847,"Residual",150,
"BUVC","fixed","(Intercept)",-0.3129,0.1997,-1.5668,-0.7102,0.1186,,,
"BUVC","fixed","relative_par_load",-0.1164,0.1082,-1.0757,-0.3259,0.0912,,,
"BUVC","fixed","hatch_size",-0.0884,0.0754,-1.172,-0.2329,0.0588,,,
"BUVC","fixed","sexM",0.9128,0.1041,8.7691,0.6992,1.1151,,,
"BUVC","fixed","periodF",-0.2243,0.1326,-1.6912,-0.5331,0.0608,,,
"BUVC","fixed","laydate",0.1768,0.0957,1.8478,-0.0077,0.3614,,,
"BUVC","fixed","relative_par_load:hatch_size",-0.0167,0.0576,-0.2896,-0.1276,0.0962,,,
"BUVC","fixed","relative_par_load:sexM",0.101,0.1237,0.8168,-0.138,0.3393,,,
"BUVC","ran_pars","sd__(Intercept)",0.5949,,,0.2939,0.7227,"broodID:year",,127
"BUVC","ran_pars","sd__(Intercept)",0.6509,,,0.4001,0.9662,"year",,19
"BUVC","ran_pars","sd__Observation",0.372,,,0.262,0.5846,"Residual",150,
"YB","fixed","(Intercept)",0.0141,0.2034,0.0695,-0.3772,0.4251,,,
"YB","fixed","relative_par_load",0.0233,0.1267,0.1842,-0.2239,0.2657,,,
"YB","fixed","hatch_size",0.0237,0.0812,0.2919,-0.1316,0.1814,,,
"YB","fixed","sexM",-0.1106,0.1454,-0.7607,-0.3892,0.173,,,
"YB","fixed","periodF",0.127,0.1731,0.7336,-0.209,0.4845,,,
"YB","fixed","laydate",0.2411,0.1015,2.3756,0.0227,0.4727,,,
"YB","fixed","relative_par_load:hatch_size",-0.1213,0.0598,-2.0277,-0.2372,-0.0065,,,
"YB","fixed","relative_par_load:sexM",-0.127,0.1601,-0.7932,-0.4334,0.1856,,,
"YB","ran_pars","sd__(Intercept)",0,,,0,0.4575,"broodID:year",,128
"YB","ran_pars","sd__(Intercept)",0.5253,,,0.1788,0.8599,"year",,19
"YB","ran_pars","sd__Observation",0.823,,,0.671,0.9208,"Residual",151,
"YUVC","fixed","(Intercept)",0.3246,0.1717,1.8908,-0.0086,0.6521,,,
"YUVC","fixed","relative_par_load",-0.0347,0.0994,-0.3494,-0.2271,0.1557,,,
"YUVC","fixed","hatch_size",-0.0233,0.0638,-0.3647,-0.1474,0.099,,,
"YUVC","fixed","sexM",0.3682,0.1136,3.2408,0.1501,0.5878,,,
"YUVC","fixed","periodF",-1.03,0.1373,-7.502,-1.2966,-0.7666,,,
"YUVC","fixed","laydate",-0.0134,0.0817,-0.1635,-0.1717,0.1463,,,
"YUVC","fixed","relative_par_load:hatch_size",0.078,0.0468,1.6653,-0.0124,0.1679,,,
"YUVC","fixed","relative_par_load:sexM",0.0191,0.1252,0.1525,-0.2208,0.2619,,,
"YUVC","ran_pars","sd__(Intercept)",0,,,0,0.4738,"broodID:year",,128
"YUVC","ran_pars","sd__(Intercept)",0.487,,,0.2962,0.7231,"year",,19
"YUVC","ran_pars","sd__Observation",0.641,,,0.5568,0.7088,"Residual",151,
"YC","fixed","(Intercept)",-0.3408,0.2022,-1.6855,-0.7296,0.0612,,,
"YC","fixed","relative_par_load",-0.0263,0.1345,-0.1953,-0.2852,0.232,,,
"YC","fixed","hatch_size",0.01,0.0859,0.1167,-0.153,0.1772,,,
"YC","fixed","sexM",0.2967,0.155,1.9138,-0.0028,0.5946,,,
"YC","fixed","periodF",0.4282,0.1812,2.3625,0.0813,0.7816,,,
"YC","fixed","laydate",0.0507,0.1045,0.4855,-0.1531,0.2549,,,
"YC","fixed","relative_par_load:hatch_size",-0.0778,0.0636,-1.2234,-0.2009,0.0439,,,
"YC","fixed","relative_par_load:sexM",-0.0291,0.1704,-0.1706,-0.3599,0.2964,,,
"YC","ran_pars","sd__(Intercept)",0,,,0,0.4306,"broodID:year",,128
"YC","ran_pars","sd__(Intercept)",0.4685,,,0.2051,0.7701,"year",,19
"YC","ran_pars","sd__Observation",0.8808,,,0.765,0.9782,"Residual",151,
