"model","effect","term","estimate","std_error","t_value","95CI_low","95CI_up","group","nb_obs","nb_groups"
"BB","fixed","(Intercept)",-0.2531,0.1848,-1.3695,-0.6079,0.0987,,,
"BB","fixed","relative_par_load",-0.0231,0.0522,-0.4416,-0.1238,0.0795,,,
"BB","fixed","hatch_size",-0.0255,0.049,-0.5212,-0.1212,0.0696,,,
"BB","fixed","min_age",0.0374,0.0456,0.8199,-0.0511,0.1265,,,
"BB","fixed","sexM",0.4355,0.0884,4.9282,0.2627,0.6069,,,
"BB","fixed","periodF",0.3228,0.1113,2.8998,0.1079,0.5412,,,
"BB","fixed","laydate",-0.03,0.0538,-0.5571,-0.1334,0.076,,,
"BB","ran_pars","sd__(Intercept)",0,,,0,0.3046,"indID",,256
"BB","ran_pars","sd__(Intercept)",0,,,0,0.2411,"pairID",,232
"BB","ran_pars","sd__(Intercept)",0.6741,,,0.4576,0.9655,"year",,19
"BB","ran_pars","sd__Observation",0.7758,,,0.7122,0.8329,"Residual",334,
"BUVC","fixed","(Intercept)",0.0531,0.1793,0.296,-0.2987,0.411,,,
"BUVC","fixed","relative_par_load",-0.0685,0.0569,-1.2032,-0.1789,0.0427,,,
"BUVC","fixed","sexM",0.732,0.0795,9.2057,0.5752,0.8862,,,
"BUVC","fixed","hatch_size",0.0382,0.0432,0.8826,-0.047,0.1225,,,
"BUVC","fixed","min_age",-0.0251,0.0401,-0.6257,-0.1029,0.0533,,,
"BUVC","fixed","periodF",-0.4451,0.0978,-4.5519,-0.6347,-0.2531,,,
"BUVC","fixed","laydate",0.1369,0.0477,2.8736,0.0444,0.23,,,
"BUVC","fixed","relative_par_load:sexM",0.2692,0.0776,3.4676,0.1176,0.42,,,
"BUVC","ran_pars","sd__(Intercept)",0.2538,,,0,0.4143,"indID",,256
"BUVC","ran_pars","sd__(Intercept)",0.107,,,0,0.307,"pairID",,232
"BUVC","ran_pars","sd__(Intercept)",0.6758,,,0.4741,0.9549,"year",,19
"BUVC","ran_pars","sd__Observation",0.6209,,,0.5216,0.713,"Residual",334,
"YB","fixed","(Intercept)",0.0296,0.1702,0.1742,-0.2989,0.3562,,,
"YB","fixed","relative_par_load",-0.1039,0.0479,-2.1687,-0.1965,-0.0101,,,
"YB","fixed","hatch_size",-0.0502,0.0452,-1.1102,-0.1383,0.0377,,,
"YB","fixed","min_age",-0.0076,0.0423,-0.1808,-0.0897,0.0751,,,
"YB","fixed","sexM",-0.1426,0.0852,-1.6743,-0.3087,0.0228,,,
"YB","fixed","periodF",0.1284,0.1026,1.2513,-0.0701,0.3292,,,
"YB","fixed","laydate",-5e-04,0.0496,-0.0095,-0.0957,0.097,,,
"YB","ran_pars","sd__(Intercept)",0.3064,,,0.0466,0.4162,"indID",,257
"YB","ran_pars","sd__(Intercept)",0,,,0,0.2815,"pairID",,232
"YB","ran_pars","sd__(Intercept)",0.6173,,,0.4286,0.8758,"year",,19
"YB","ran_pars","sd__Observation",0.6494,,,0.5864,0.7482,"Residual",334,
"YUVC","fixed","(Intercept)",0.6407,0.1446,4.4305,0.3559,0.9234,,,
"YUVC","fixed","relative_par_load",-0.0069,0.0475,-0.1459,-0.1,0.0852,,,
"YUVC","fixed","hatch_size",-0.0066,0.045,-0.1471,-0.0942,0.0811,,,
"YUVC","fixed","min_age",0.0458,0.041,1.1149,-0.034,0.126,,,
"YUVC","fixed","sexM",0.242,0.0778,3.1086,0.0903,0.3942,,,
"YUVC","fixed","periodF",-1.1359,0.1002,-11.3423,-1.3325,-0.9416,,,
"YUVC","fixed","laydate",0.0151,0.0492,0.3063,-0.0827,0.1126,,,
"YUVC","ran_pars","sd__(Intercept)",1e-04,,,0,0.3358,"indID",,257
"YUVC","ran_pars","sd__(Intercept)",0.2124,,,0,0.3375,"pairID",,232
"YUVC","ran_pars","sd__(Intercept)",0.4915,,,0.3384,0.6983,"year",,19
"YUVC","ran_pars","sd__Observation",0.667,,,0.588,0.7423,"Residual",334,
"YC","fixed","(Intercept)",-0.2511,0.1469,-1.7097,-0.5344,0.0368,,,
"YC","fixed","relative_par_load",0.0407,0.0561,0.7259,-0.0695,0.1491,,,
"YC","fixed","hatch_size",0.0278,0.054,0.5153,-0.0771,0.1338,,,
"YC","fixed","min_age",0.0321,0.0506,0.633,-0.0674,0.1305,,,
"YC","fixed","sexM",0.4945,0.1014,4.8784,0.2967,0.6926,,,
"YC","fixed","periodF",0.0949,0.1206,0.7873,-0.1399,0.3331,,,
"YC","fixed","laydate",0.0022,0.0575,0.0376,-0.1103,0.1155,,,
"YC","ran_pars","sd__(Intercept)",0.3313,,,0.1113,0.4733,"indID",,257
"YC","ran_pars","sd__(Intercept)",0,,,0,0.2544,"pairID",,232
"YC","ran_pars","sd__(Intercept)",0.4232,,,0.2571,0.632,"year",,19
"YC","ran_pars","sd__Observation",0.7963,,,0.6992,0.8981,"Residual",334,
